number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_eps_decay_steps,params_eps_end,params_eps_start,params_gamma,params_hidden_dim,params_learning_starts,params_lr,params_n_layers,params_target_update_freq,params_train_freq,state
0,0.7200000000000001,2026-04-03 10:17:50.843230,2026-04-03 11:21:44.841196,0 days 01:03:53.997966,256,500000,50000,0.03698712885426209,0.9832442640800422,0.965459808211767,512,6000,2.9380279387035334e-05,3,10000,2,COMPLETE
1,0.5466666666666665,2026-04-03 11:21:45.064584,2026-04-03 13:57:40.270855,0 days 02:35:55.206271,512,500000,75000,0.08467178784931689,0.996563203307456,0.9779982053444763,1024,2000,3.972110727381908e-05,4,5000,4,COMPLETE
2,0.6833333333333335,2026-04-03 13:57:40.456406,2026-04-03 14:29:31.383437,0 days 00:31:50.927031,128,500000,50000,0.035678628993531615,0.9088492502051919,0.9664699059433934,512,10000,0.00043664735929796326,3,5000,4,COMPLETE
3,0.6066666666666666,2026-04-03 14:29:31.526009,2026-04-03 15:59:05.030003,0 days 01:29:33.503994,256,200000,150000,0.029269524762010377,0.9358465728544273,0.966955048853696,512,4000,0.0020736445177905022,4,2000,2,COMPLETE
4,0.6166666666666667,2026-04-03 15:59:05.146480,2026-04-03 17:20:18.257202,0 days 01:21:13.110722,128,100000,75000,0.07091283290110244,0.9031429185686735,0.9796447019149324,256,6000,0.0019158219548093154,4,5000,1,COMPLETE
5,0.44,2026-04-03 17:20:18.358557,2026-04-03 18:26:47.517162,0 days 01:06:29.158605,512,500000,75000,0.02880415396221414,0.9318003474971864,0.9905011206565701,1024,2000,0.000794714742465374,4,10000,1,PRUNED
6,0.32,2026-04-03 18:26:47.683182,2026-04-03 18:31:03.681862,0 days 00:04:15.998680,256,200000,125000,0.022950955788362624,0.9284840494377468,0.9846056635613312,1024,10000,0.0003600575029200903,2,2000,4,PRUNED
7,0.68,2026-04-03 18:31:03.833134,2026-04-03 18:52:59.691354,0 days 00:21:55.858220,512,500000,50000,0.03492148083198834,0.9320780064971737,0.985487572201415,256,6000,5.163124910488014e-05,4,5000,2,PRUNED
8,0.42,2026-04-03 18:52:59.901060,2026-04-03 18:56:46.322042,0 days 00:03:46.420982,128,200000,50000,0.03934818327203614,0.9529650578356007,0.9639715732434205,1024,4000,0.0001054870271491805,2,5000,4,PRUNED
9,0.32,2026-04-03 18:56:46.465273,2026-04-03 18:58:42.890036,0 days 00:01:56.424763,128,100000,125000,0.07535161581541547,0.9548733789366586,0.9914493965984478,256,4000,3.054120318443388e-05,2,5000,4,PRUNED
10,0.34,2026-04-03 18:58:43.060244,2026-04-03 19:03:06.646496,0 days 00:04:23.586252,256,500000,100000,0.0513962313682106,0.989962194563511,0.9721397811992317,512,8000,1.0535179945522751e-05,3,10000,2,PRUNED
11,0.38,2026-04-03 19:03:06.803281,2026-04-03 19:06:36.768577,0 days 00:03:29.965296,128,500000,50000,0.05100753632511687,0.9753831148979402,0.9607733993266709,512,10000,0.00026190393283008934,3,10000,2,PRUNED
12,0.38,2026-04-03 19:06:36.920671,2026-04-03 19:10:17.574659,0 days 00:03:40.653988,256,500000,50000,0.045841038799590644,0.9003472579359236,0.9719979750893211,512,8000,0.0048027248989805605,3,10000,4,PRUNED
13,0.34,2026-04-03 19:10:17.724784,2026-04-03 19:15:00.746780,0 days 00:04:43.021996,256,500000,75000,0.06190190095205402,0.9718213212367549,0.9700787182483771,512,8000,0.00023642669889812826,3,10000,2,PRUNED
14,0.5,2026-04-03 19:15:00.891362,2026-04-03 19:47:54.129575,0 days 00:32:53.238213,128,500000,100000,0.020842067127861467,0.9160511383291728,0.9658144872708091,512,8000,0.0006399926839913512,3,2000,1,PRUNED
15,0.32,2026-04-03 19:47:54.332974,2026-04-03 19:50:13.452853,0 days 00:02:19.119879,128,100000,100000,0.040407785897205124,0.9687251132087726,0.9602922564782115,512,10000,1.0953114890618505e-05,3,5000,4,PRUNED
16,0.42,2026-04-03 19:50:13.628497,2026-04-03 19:55:10.025670,0 days 00:04:56.397173,256,500000,50000,0.058627891716911386,0.9818756838082129,0.9744367704379054,512,6000,0.00010202712883006942,3,10000,2,PRUNED
17,0.18,2026-04-03 19:55:10.173746,2026-04-03 19:58:01.884067,0 days 00:02:51.710321,128,500000,75000,0.08958797039793501,0.960033744437542,0.9684554199161876,512,4000,0.00788065015202714,2,10000,4,PRUNED
18,0.44,2026-04-03 19:58:02.032646,2026-04-03 20:15:38.949476,0 days 00:17:36.916830,256,100000,125000,0.09787433128227935,0.9426765305341579,0.9639603030056278,512,8000,0.00011565513838081996,2,5000,2,PRUNED
19,0.46,2026-04-03 20:15:39.191160,2026-04-03 20:47:40.036920,0 days 00:32:00.845760,512,200000,50000,0.032407811709391804,0.9240707761110255,0.976968276276749,256,6000,0.0012856393731414998,3,2000,1,PRUNED
